state_name,state_abbr,state_fips,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X000,total_workers_employed,worker_job_loss_rate
Alabama,AL,01,0.294147583,0.703901612,-0.02264631,6.029940628,2.746734521,0.954028838,1.116284987,-0.61653944,0.750381679,0.813825276,0.818659881,-0.468278202,0.602205259,4.91187447,11.99304495,6.376759966,1.394147583,6.439525021,3.272010178,0.791603053,60,1997,0.02995
Alaska,AK,02,0.034730539,15.08323353,0.997005988,-2.862874251,2.815568862,3.510778443,8.017964072,23.41137725,2.853892216,3.077245509,3.404191617,-2.566467066,0.01497006,11.39580838,18.03113772,3.24011976,10.29101796,41.54311377,0.225149701,5.434730539,44,1234,0.03598
Arkansas,AR,04,0,-0.731389253,-0.702162516,1.131454784,-0.603014417,-2.503931848,-2.27870249,-8.942332896,4.520773263,-2.532175623,1.853735256,-7.019397117,1.061074705,11.34593709,-9.658584535,0.27948886,4.84587156,13.17549148,1.521625164,1.769397117,63,1613,0.03887
California,CA,05,0.039795918,0.036734694,0.049562682,0.022594752,-2.657725948,1.288629738,-1.889212828,1.569825073,0.911516035,-0.753498542,0.840233236,-0.225072886,0.222303207,-2.750145773,-11.92434402,10.90976676,1.497230321,10.07580175,-0.543586006,2.309329446,37,1224,0.03062
Colorado,CO,06,0.055295582,0.379987554,0.237797138,4.199253267,6.956341008,3.49230865,10.49914126,-2.110491599,9.453939017,0.994275047,2.91264468,1.408935905,1.612520224,7.62271313,19.29052894,1.039688861,14.56512757,39.42165526,13.95917859,5.535606721,20,797,0.02537
Connecticut,CT,08,0.044835869,5.308566853,-0.193354684,5.099039231,3.098799039,-0.693835068,0.581265012,-1.991913531,4.109447558,-0.239071257,0.242033627,-3.233306645,-2.167253803,6.738510809,10.08334668,1.982225781,4.737790232,18.88935148,5.363490793,3.275420336,27,1095,0.02509
Delaware,DE,09,0.02424608,0.097225573,0.202050663,3.700120627,11.16887817,3.040651387,13.0490953,-3.090349819,6.266103739,3.434499397,2.977563329,3.618817853,0.78371532,5.083594692,-1.061881785,25.23860072,7.208926417,23.29324487,6.621954162,1.958383595,46,2014,0.0229
District of Columbia,DC,10,0,0.015813953,-0.254883721,2.649767442,10.89860465,-0.462790698,2.257674419,-5.739534884,1.662325581,5.309302326,1.928837209,-2.165116279,1.131162791,20.20604651,13.02837209,13.50186047,-0.193023256,20.92790698,7.962790698,0.812093023,19,515,0.03756
Florida,FL,11,0,-0.003910615,0.405027933,-0.072625698,2.031843575,2.73575419,16.60446927,7.311731844,5.610614525,3.375418994,0.074301676,-4.35698324,0.732960894,23.83519553,-1.00726257,7.725698324,12.13519553,74.6424581,19.90893855,-1.202793296,13,336,0.03865
Georgia,GA,12,-0.000142959,-0.032761496,0.122111032,-0.096711937,1.256921611,2.806766738,7.986418871,2.668596617,2.358732428,-2.737550631,1.143840839,-8.720562306,1.520586133,11.10895878,-1.636430784,7.00254944,15.56978794,29.08539433,4.123326185,1.997641172,36,976,0.03658
